ID,Sachgebiet,Frage,Antwort Nr. 1,Antwort Nr. 2,Antwort Nr. 3,Richtige Antwort = Nr.
20,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wie lang geht die Fuchsfähe dick?,3-4 Wochen,5-6 Wochen,7-8 Wochen,3
21,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welcher Nadelbaum wirft im Herbst die Nadeln ab?,Lärche,Douglasie,Weißtanne,1
22,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wie verhält sich ein Feisthirsch im August?,Er steht beim Kahlwildrudel.,Er äst besonders aktiv und steht daher auf den Wiesen.,Er wird recht heimlich und ist daher schwer in Anblick zu bekommen.,3
24,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Bei welcher Baumart wird die Saat als waldbauliche Verjüngungsmaßnahme häufig angewandt?,Eiche,Vogelkirsche,Elsbeere,1
25,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Landschaft ist für eine erfolgreiche Hege der Hasen von Vorteil?,kleinstrukturierte Felder und Hecken,"große, einheitliche Schläge (Felder)",großräumige Nadelwälder,1
26,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Gehölze zählen zu den Sträuchern?,Aspe und Esche,Hasel und Weißdorn,Feldahorn und Bergulme,2
28,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Rebhühner,brüten ca. 40 Tage.,leben bevorzugt in Mischund Nadelwaldkulturen.,brauchen zur Aufzucht ihrer Jungen eiweißreiche Insektennahrung.,3
30,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welcher Greifvogel zählt zu den Bisstötern?,Turmfalke,Mäusebussard,Rotmilan,1
33,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Auf welche Wildarten wird die Baujagd ausgeübt?,"Fuchs, Kaninchen","Hase, Waschbär","Brandgans, Murmeltier",1
35,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was wird mit dem Begriff vorhandene Äsungskapazität bezeichnet?,Die tägliche Nahrungsaufnahme durch Wildtiere in kg.,"Die Gras-, Kraut- und Strauchflora, die für das Wild ganzjährig zur Verfügung steht.",Durch Winterfütterung auszugleichende fehlende natürliche Äsung.,2
38,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Wildart wird mit der Wippbrettfalle gefangen?,Kaninchen,Fasane,Steinmarder,3
125,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Federwildart hat in Thüringen ganzjährige Schonzeit?,Kolkrabe,Türkentaube,Lachmöwe,1
128,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Darf die Vegetationsdecke von Wiesen, Feldrainen oder brachliegendem Gelände ohne Ausnahmegenehmigung abgebrannt werden, sofern dies nicht der ordnungsgemäßen land- und forstwirtschaftlichen Nutzung dient?",Nein,Ja,"ja, aber nur im Winter",1
130,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche landwirtschaftliche Betriebsmaßnahme bietet dem Schalenwild im Herbst und Winter Äsungsmöglichkeiten?,Anbau von Zwischenoder Winterfrüchte,Mistausbringung vor dem Pflügen,Grubbern von Wiesenflächen,1
134,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Vorteile bietet der Zwischenfruchtanbau für das Wild?,Äsung und Deckung,Schnelleres Austrocknen der Ackerböden,Schnellere Bodenerwärmung im Frühjahr,1
135,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Warum werden auf Stilllegungsflächen Pflegemaßnahmen (z. B. Mulchen, Mähen) durchgeführt?",Um eine übermäßige starke Verbreitung unerwünschter Pflanzenarten zu verhindern,Um die Wirksamkeit des chemischen Pflanzenschutzes zu erhöhen,Um die Massierung bestimmter Wildarten zu unterbinden,1
136,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Welchen Vorteil haben Hülsenfrüchte (Lupinen, Erbsen, Bohnen) und die Kleearten für die Nährstoffversorgung des Bodens?",erhöhen den Kalkgehalt,reichern den Boden mit Stickstoff an (Stickstoffsammler),reduzieren die organische Masse,2
137,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Getreideart wird zwecks Kornernte nur im Frühjahr angesät?,Hafer,Winter-Roggen,Winter-Weizen,1
138,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Pflanzenart zählt zum Getreide?,Sonnenblume,Zuckerrübe,Mais,3
139,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche landwirtschaftlichen Erzeugnisse gehören zu den Hackfruchtarten?,Kartoffeln und Runkelrüben,Hafer und Winterweizen,Rotklee und Buchweizen,1
140,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche in der Landwirtschaft angebaute Kulturpflanze hat auch für den Anbau auf Wildäckern eine große Bedeutung?,Lein,Roggen,Senf,3
141,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche auch für den Wildacker geeignete Pflanze kann mit Hilfe von Knöllchenbakterien Stickstoff sammeln?,Felderbse,Winter-Raps,Markstammkohl,1
142,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Der Anbau von Futterpflanzen in der Landwirtschaft, der unter den Sammelbegriff ""Feldfutterbau"" oder ""Ackerfutterbau"" fällt, ist für die Ernährung des Wildes während der Vegetationszeit wertvoll. Welche der nachgenannten Pflanzenarten finden im Feldfutterbau Verwendung?",Zuckerrübe,Kartoffel,Luzerne,3
143,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Aus welchem Grund werden Wildäcker im Wald angelegt?,Zur Fütterung des Wildes,Zur Kirrung des Wildes,Zur Äsungsverbesserung,3
144,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was versteht man unter Zwischenfrüchten?,Kreuzungen zwischen 2 verwandten Fruchtarten,"Ackerpflanzen, die zeitlich zwischen 2 Hauptfruchtarten angebaut werden",Gentechnisch veränderte Ackerfrüchte,2
145,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Auf welcher Fläche darf der Landwirt keine chemischen Pflanzenschutzmittel anwenden?,Auf der Weide,Im Feldrain,Im Braugerstenfeld,2
146,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welches ist in Thüringen die kleinste vorkommende Eulenart?,Schleiereule,Sperlingskauz,Waldkauz,2
147,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Bei welcher Greifvogelart unterscheidet sich das Jugendgefieder vom Alterskleid besonders ausgeprägt?,Mäusebussard,Habicht,Wespenbussard,2
148,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Maßnahme verbessert das natürliche Äsungsangebot für Schalenwild qualitativ?,Anlage von forstlichen Reinbeständen,Anlage von artenreichen Wildäckern oder Mischwäldern,Anlage von landwirtschaftlichen Monokulturen,2
149,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Ein Herbizid ist ein Mittel zur:,Schneckenbekämpfung,Unkrautbekämpfung,Halmverkürzung bei Getreide,2
150,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was ist Prossholz?,Junge Kiefernzweige,Gipfel frisch gefällter Fichten,Abgeschnittene Zweige von Laubgehölzen als Winteräsung für Wild,3
151,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Bäume sind für die Prossholzgewinnung besonders geeignet?,Rosskastanie,Moorbirke,Obstbäume,3
152,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Strauchart ist im Winter wichtige Äsungspflanze für Rehwild?,Himbeere,Vogelbeere,Brombeere,3
153,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Wildackerpflanze bietet Blatt- und Knollenäsung?,Waldstaudenroggen,Topinambur,Süßlupine,2
154,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Pflanze bietet auf dem Wildacker auch noch im Winter bei längeren Frostperioden saftige Grünäsung?,Markstammkohl,Sonnenblumen,Buchweizen,1
156,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Strauchart ist nicht zur Anlage von Hecken geeignet?,Weißdorn,Schwarzdorn,Stechpalme,3
157,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Pflanze ist mehrjährig und damit als Daueräsungsfläche geeignet?,Ackerbohne,Buchweizen,Perserklee,2
158,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Baumart zählt zu den schattentolerierenden Arten?,Birke,Esche,Weißtanne,3
159,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Baumart gilt als Lichtbaumart?,Eibe,Weißtanne,Birke,3
160,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Baumart zählt zu den Weichlaubhölzern?,Eiche,Weide,Rotbuche,2
161,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Baumart ist ein Flachwurzler?,Eiche,Kiefer,Fichte,3
162,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welcher Nadelbaum gedeiht auch auf trockenen und sandigen Böden gut?,Tanne,Kiefer,Fichte,2
163,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Welche Baumart hat Früchte, die für die Wildäsung wertvoll sind?",Hainbuche,Schwarzerle,Rotbuche,3
164,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Baumarten sind standortstypisch an Bachläufen und Gewässern?,Schwarzerle und Weide,Bergulme und Hainbuche,Spitzahorn und Kiefer,1
165,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Pflanzen zählen zu den Hülsenfrüchten?,Futterrübe und Markstammkohl,Topinambur und Kartoffel,Erbse und Lupine,3
166,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Welche Getreideart wird im Jahresverlauf zuletzt geerntet, so dass sie dem Wild lange Deckung und Äsung bietet?",Winter-Roggen,Winter-Gerste,Körnermais,3
167,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",In welchem Monat wird Futtermais im Allgemeinen gesät?,März,Mai,Juli,2
168,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was versteht man unter Milchreife bei Mais?,Die Maiskörner ergeben in Wasser aufgeschwemmt eine milchartige Mischung.,Die Maiskörner werden noch nicht vom Schwarzwild angenommen.,"Die Maiskörner in der Kolbenmitte sind weißgelblich, der Inhalt milchig.",3
169,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Pflanze wird als Zwischenfrucht im Spätsommer oder Herbst angebaut?,Leinsamen,Ackersenf,Sonnenblume,2
170,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Stark und lang begrannte Ähren hat,Hafer,Winterweizen,Wintergerste,3
171,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Eine Pionierbaumart ist die:,Birke,Esche,Feldulme,1
172,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welcher Nadelbaum wirft im Winter alle Nadeln ab?,Lärche,Fichte,Kiefer,1
173,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Aussage ist richtig?,Pionierbaumarten werden mit Halstüchern gegen Verbiss geschützt.,"Pionierbaumarten haben Samen, die vom Wind verbreitet werden.",Pionierbaumarten werden vom Wild in der Regel nicht verbissen.,2
174,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Baumart ist durch den Borkenkäfer (Buchdrucker) besonders gefährdet?,Fichte,Lärche,Buche,1
175,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche wildlebende Tierart fördert aktiv die Naturverjüngung des Waldes?,Baummarder,Buchfink,Eichelhäher,3
177,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche mastbildende Baumart ist als Wildäsung besonders bedeutsam?,Esche,Hainbuche,Rotbuche,3
178,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Was versteht man unter einer ""BenjesHecke""?",Einen Vieh-Pferch.,Eine Hecke die sich aus einem Gestrüppwall entwickelt hat.,Eine gepflanzte niedrige Hecke.,2
179,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wie kann die Regeneration von Hecken am zweckmäßigsten gefördert werden?,Natürlich wachsen lassen,Abschnittsweise auf den Stock setzen,Abbrennen,2
180,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Das Forstliche Gutachten zur Situation der Waldverjüngung und der Schälschadensentwicklung ist eine:,Aufnahme und Beurteilung des Verbissund Schälgeschehens durch Wild im Wald.,Aufnahme des Holzvorrats und Beurteilung der Holzqualität.,Aufnahme der Naturverjüngung und Beurteilung der erforderlichen waldbaulichen Eingriffe.,1
181,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Bedeutung hat das forstliche Gutachten für die Jagdausübung?,Keine,Es gibt in dreijährlichen Abständen einen Zustandsbericht zur Situation der Waldverjüngung und der Waldbestände hinsichtlich des Verbissund Schälgeschehens,Es ist die jährliche Erfassung der Wildbestände im Wald,2
182,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Was charakterisiert Wald, der naturnah bewirtschaftet wird?",Verzicht auf Kahlschlagnutzung,Artenarme Strauch-und Baumvegetation,Hoher Anteil an fremdländischen Baumarten,1
183,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Fungizide,sind Wachstumshormone für Pflanzen.,fördern die Artenvielfalt auf Wiesen.,sind Stoffe zur Bekämpfung pflanzlicher Pilzkrankheiten.,3
184,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche der genannten Fläche eignet sich besonders für die Anlage eines Wildackers?,Magerrasen,Feuchtbiotop,Nicht genutzter Holzlagerplatz im Wald,3
185,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche ist die im Hinblick auf die Beeinträchtigung des Wildlebensraums ungünstigste Schutzmaßnahme gegen Verbiss von Jungbäumen?,Wuchshülle,Drahthose,Zaun,3
186,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was bezeichnet man als Fruchtfolge?,Weiterverarbeitung der Feldfrüchte,Wechselnder Anbau von Feldpflanzen,Nährstoffaufnahme der Ackerfrüchte,2
187,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was verstehen Forstleute unter Anflug?,Anflug der Maikäfer zu einem Laubwald,Anflug von Unkrautsamen,Jungwuchs aus vom Wind angewehten Samen,3
188,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was bezeichnen Thüringer Forstleute als Dickung?,Einen Altbestand aus dicken Bäumen,Einen Waldbestand über 2 m Mittelhöhe und bis 7 cm mittlerer Brusthöhendurchmesser (BHD),Einen Jungbestand nur aus Stockausschlägen,2
189,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welches Ziel verfolgt die naturnahe Waldwirtschaft?,Den Aufbau eines baumartenreichen und mehrschichtigen Mischwaldes.,Den Aufbau wertvoller Waldreinbestände.,Den Aufbau von wüchsigen Nadelmischwäldern mit möglichst hohem Fichtenanteil.,1
190,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welches Verjüngungsverfahren wird in der naturnahen Waldwirtschaft bevorzugt angewandt?,Saat,Naturverjüngung,Pflanzung,2
191,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Durch welche waldbauliche Maßnahme verbessert sich das Äsungsangebot für Rehwild im Winter?,Durch den Anbau von Nadelholzmonokulturen.,Durch das Belassen von Baumwipfeln und Ästen nach dem Holzeinschlag im Wald.,Durch Buchenvoranbau in eingezäunten Flächen.,2
192,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Insektenart kann bei Massenvermehrungen auch gesunde Bäume zum Absterben bringen?,Holzwespen,Borkenkäfer,Hirschkäfer,2
193,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welcher Boden gilt in der landwirtschaftlichen Bewirtschaftung als am ertragreichsten?,Sandboden,Lehmboden,Lößboden,3
194,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Baumart ist durch selektiven Verbiss am stärksten gefährdet?,Fichte,Lärche,Eiche,3
195,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Maßnahme hat sich als Schutz von frisch eingesäten Maisfeldern vor Schwarzwildschäden am besten bewährt?,Einsatz von geruchlichen Vergrämungsmitteln,Einsatz von optischen Vergrämungsmitteln (Blinkleuchten),Erlegung des Wildes,3
196,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Welche Maßnahme ist am geeignetsten, um Wildschäden durch Schwarzwild im Getreide zu reduzieren?",Absolute Ruhe an Ablenkfütterungen.,Abschuss der Leitbache.,Einsaat des Getreides bis direkt an den Waldrand.,1
197,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Wildart kann in halbreifen Getreideschlägen Lagerschäden verursachen?,Wildgänse,Ringeltauben,Schwarzwild,3
198,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Wildart verursacht Schäden an Winterraps?,Dachs,Wildkaninchen,Ringeltaube,2
199,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Schalenwildart kann Schälschäden verursachen?,Muffelwild,Schwarzwild,Rehwild,1
200,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Federwildart kann auf Feldern enorme wirtschaftliche Schäden verursachen?,Eichelhäher,Elster,Ringeltaube,3
201,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Woran erkennt man, dass ein Buchentrieb vom Rehwild verbissen wurde?",Die Schnittflächen sind faserig und gequetscht.,Die Schnittflächen wirken glatt wie mit der Schere abgeschnitten.,Lediglich die Rinde wurde abgenagt.,1
202,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Glatt abgebissene Jungpflanzen in einer Buchenverjüngung deuten als Verursacher hin, auf",Rehwild,Buchfink,Feldhase,3
203,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Nadelbaumart wird bevorzugt vom Rehbock gefegt?,Kiefer,Douglasie,Fichte,2
204,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Wildart kann einen Getreideschlag erheblich schädigen?,Rotwild,Fuchs,Feldhase,1
205,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche der genannten Vogelarten können auf Feldern z.T. größeren Schaden verursachen?,Elster,Graugans,Rebhuhn,2
206,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Wildart geht an Getreidekörnern nach der Aussaat zu Schaden?,Feldhase,Fasan,Rehwild,2
207,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wie kann Wildschaden durch Schwarzwild auf Grünland vermieden werden?,Aufwuchs regelmäßig mulchen und anschließend Fischpellets ausbringen.,Fläche regelmäßig mit Stallmist düngen.,Fläche mähen und Mähgut abräumen.,3
208,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Pflanzenart ist unmittelbar nach der Saat am stärksten durch Schwarzwild gefährdet?,Raps,Mais,Sommergerste,2
209,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Hackfrucht ist nach der Feldbestellung am stärksten durch Schwarzwild gefährdet?,Brassica-Rübe,Kartoffel,Möhre,2
210,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Flächen werden im Herbst durch Brechen von Schwarzwild auf der Suche nach tierischem Eiweiß besonders geschädigt?,Rückegassen in Buchenaltholzbeständen.,Streuobstwiesen mit Fallobst.,Fichtennaturverjüngungen.,2
211,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Bejagungsstrategie beugt Schwarzwildschäden in landwirtschaftlichen Nutzflächen am wirksamsten vor?,Steigerung der Bejagungsintensität im Wald,Durchführung jagdbezirksübergreifender Jagden in Wald und Feld,Ablenkfütterung im Feld,2
212,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Junge Triebe und Knospen der Waldbäume werden bevorzugt abgebissen vom,Fuchs,Siebenschläfer,Reh,3
213,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wie viele Quadratmeter sind ein halber Hektar Wildschaden im Weizen?,500 Quadratmeter,2.500 Quadratmeter,5.000 Quadratmeter,3
214,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was versteht man bei der Wildschadensverhütung unter Flächenschutz?,Einen Zaun zum Schutz vor Verbiss-und Schälschäden.,Eine Drahthose um die verbissgefährdeten Pflanzen.,Einen Grüneinband um die schälgefährdeten Stämme.,1
215,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",In welchem Zeitraum verursachen Rothirsche die meisten Fegeschäden?,In den Monaten April und Mai.,In den Monaten Oktober und November.,Von Ende Juli bis in den September.,3
216,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Wildschäden werden durch Rotwild verursacht?,Wühlschäden im Grünland.,Verbiss des Wurzelhalses von Bäumen.,Schälschäden an Bäumen.,3
217,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Wie hoch muss ein Zaun mindestens sein, der Kulturen vor Rotwild schützen soll?","1,5 Meter","2,0 Meter","1,2 Meter",2
218,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Wie hoch muss ein Zaun sein, der Kulturen vor Rehwild schützen soll?",1 Meter,"1,5 Meter","1,2 Meter",2
219,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Womit schält das Rotwild?,Mit den Vorderläufen.,Mit den Geweihenden.,Mit den Schneidezähnen.,3
220,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Baumart ist am stärksten durch Schälschäden gefährdet?,Fichte,Birke,Erle,1
221,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",In welchen der nachfolgend beschriebenen Waldbestände können Schälschäden durch Rotwild auftreten?,Im 140-jährigen Kiefernbestand,Im 30-jährigen Fichtenbestand,Im 100-jährigen EichenBestand,2
222,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wie kann der übermäßige Verbiss durch Rehwild jagdlich verringert werden?,Durch Schutzvorrichtungen an den Pflanzen,Durch Abschuss und Herstellen einer wirtschaftlich tragbaren Wilddichte,Durch Verscheuchen des Wildes,2
223,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Auf welchem Einfluss beruht vorrangig der Reichtum an Pflanzenarten in Waldrändern?,auf den Ausscheidungen von Greifvögeln,auf den samenhaltigen Ausscheidungen der Singvögel,"auf dem Verbiss durch Feldhase, Kaninchen und Reh",2
224,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Aussage zu Waldbeständen ist richtig?,In Reinbeständen können sich Schädlinge schlechter vermehren.,Reine Fichtenbestände sind stärker sturmwurfgefährdet als Mischbestände.,"Typische Baumarten des Bergmischwaldes sind Kiefer, Lärche und Stieleiche.",2
225,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Aussage zu Waldfunktionen ist richtig?,Wälder sind wichtig für die Trinkwassergewinnung,Wälder können das örtliche Klima nicht beeinflussen,Wälder können Lärm nicht dämpfen,1
226,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Baumart kann nach der Fällung wieder aus dem Stock ausschlagen?,Erle,Kiefer,Fichte,1
227,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Welche forstliche Maßnahme können Sie als Pächter eines Gemeinschaftsjagdreviers den Waldbesitzern vorschlagen, um eine Verbesserung des Nahrungsangebotes für das Wild zu erreichen?",Zertifizierung der Waldfläche,Wertästung,Abbau entbehrlicher Kulturzäune,3
228,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",In welchen der nachgenannten Bestandsformen findet das Rehwild vorwiegend natürliche Äsung?,Jungwuchs,Stangenholz,Dickung,1
229,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Warum gehen ohne menschliches Zutun weitab von Samenbäumen junge Buchen auf?,Durch Hähersaat,Durch Windfracht,Durch Schalenwildlosung,1
230,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Landschaft ist für eine erfolgreiche Hege der Hasen von Vorteil?,möglichst abwechslungsreiche Feldflächen und Hecken,"große, möglichst ebene Maisfelder",großräumige Nadelwälder im Flachland,1
231,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche der nachgenannten landwirtschaftlichen Maschinen/Geräte verursacht am häufigsten starke Verluste unter dem Niederwild?,Walze,Mähmaschine,Egge,2
232,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welchem Futter ist die Silage zuzuordnen?,dem Saftfutter,dem Kraftfutter,dem Raufutter,1
233,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Pflegemaßnahme sollte auf Dauergrünlandflächen jährlich vorgenommen werden?,Mahd,Düngung,Abwalzen,1
235,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welcher Baum wurde nach Deutschland eingeführt?,Eibe,Douglasie,Elsbeere,2
236,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was ist eine Wuchshülle?,Messinstrument zur Ermittlung des jährlichen Höhenzuwachses bei Bäumen,Eine Hülle zur Abdeckung weniger Keimlinge in der Baumschule,Schutzhülle für gepflanzte Bäume vor Wildverbiss,3
237,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche genannte Aussage über Hochmoore ist falsch?,Sie liegen in der Regel über 1 500 m Meereshöhe,Sie sind in ihrer Wasser- und Nährstoffversorgung ausschließlich auf Niederschläge angewiesen,Ihre Pflanzendecke ist trittempfindlich und wird durch den Erholungsverkehr gefährdet,1
254,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wie können Spechte im Wald gefördert werden?,Belassen von starken Altbäumen im Wald,Störende Greifvögel erlegen,Früchtetragende Sträucher anbauen,1
255,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Auf welcher der nachgenannten Fläche können die heimischen Sonnentauarten vorkommen?,Hochmoore,Bergwiesen,Zweimahdige Wiesen,1
265,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was verstehen Sie unter Ökologie?,Wirtschaftswissenschaft,Wissenschaft von den inner- und zwischenartlichen Wechselbeziehungen einschließlich mit und in der unbelebten Umwelt,Wissenschaft von der Natur ohne Menschen,2
266,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was ist ein Biotop?,Jeder abgrenzbare Lebensraum,Nur abgrenzbare Lebensräume in der freien Natur,"Nur besonders wertvolle, abgrenzbare Lebensräume",1
268,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welches Ziel hat die Landschaftspflege?,Auf eine natürliche Entwicklung der Landschaft hinzuwirken,Eine artenreiche Kulturlandschaft zu erhalten,Das Entfernen von Müll und sonstigem Unrat aus der Landschaft,2
269,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Warum ist es wichtig Hecken alternierend und ggf. abschnittsweise auf den Stock zu setzten?,Damit diese erhalten bleibt und sich verjüngen kann.,Weil Naturschutzverbände dafür Geld bekommen.,"Alte, ungepflegte Hecken stören das Landschaftsbild.",1
271,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was sind Landschaftsbestandteile?,"Teile, aus denen die Landschaft besteht",Nur das Festland,Der Unterschied zwischen den Teilen der Landschaft,1
273,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Maßnahmen dienen der Erhaltung der Artenvielfalt?,Herstellung von großen einheitlichen Flächenstrukturen,Verzicht jeglicher menschlicher Eingriffe in die Natur,"Schutz, Pflege, Nutzung und Ergänzung der natürlichen Ressourcen",3
274,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Knospenäsung benötigt das Haselhuhn vorwiegend zur Nahrung im Winter?,Nadelholzbaumknospen,Knospen von Hartlaubhölzern,Knospen von Weichlaubhölzern,3
